Year,Sk.pre,Nass.pre,Noyes,Dall,D104,Sk.pre.p,Nass.pre.p
1985,67395,8063,223661,106063,329724,0.204398224,0.024453786
1986,39692,24620,173565,157906,331471,0.119745015,0.074274974
1987,21355,20210,55396,46903,102299,0.208750819,0.197558138
1988,168481,19668,322798,164438,487236,0.345789309,0.040366475
1989,100452,24702,155688,118254,273942,0.366690759,0.090172372
1990,97221,32819,228098,178763,406861,0.238953844,0.080663912
1991,54836,15449,334306,288534,622840,0.088041873,0.024804123
1992,42618,13693,465721,335323,801044,0.05320307,0.017093942
1993,76465,42967,258175,312588,570763,0.133969791,0.075279932
1994,58506,49413,435038,142864,577902,0.101238618,0.085504117
1995,33893,23096,188624,209318,397942,0.085170703,0.058038609
1996,106080,37108,324675,287052,611727,0.173410688,0.060661047
1997,296235,161186,485852,336609,822461,0.360181212,0.195980113
1998,5320,6343,141165,72187,213352,0.024935318,0.029730211
1999,2035,1197,46622,30466,77088,0.026398402,0.015527709
2000,25049,4172,65678,70854,136532,0.183466147,0.030556939
2001,137424,30430,325691,120809,446500,0.307780515,0.068152296
2002,11772,6855,16074,7737,23811,0.494393348,0.287892151
2003,33879,10379,107416,52850,160266,0.21139231,0.064761085
2004,8545,10688,211470,30226,241696,0.035354329,0.044220839
2005,12059,7383,128814,20900,149714,0.080546909,0.049314025
2006,48042,20898,163810,12946,176756,0.271798411,0.118230781
2007,51522,24093,414489,88786,503275,0.102373454,0.047872436
2008,2553,2327,32264,1514,33778,0.07558174,0.068890994
2009,4747,5381,54243,17683,71926,0.065998387,0.074813002
2010,839,252,4315,238,4553,0.184274105,0.055348122
2011,10487,6112,91927,29867,121794,0.086104406,0.050183096
2012,8633,965,32612,8437,41049,0.21030963,0.02350849
2013,2802,1426,8553,2387,10940,0.256124314,0.130347349
2014,63038,10967,170264,209871,380135,0.16583056,0.028850277
2015,13161,8272,224990,55952,280942,0.046845968,0.0294438
2016,49313,15726,189827,85800,275627,0.17891208,0.057055368
2017,5192,1724,44748,9877,54625,0.095048055,0.031560641
2018,8933,1066,39211,8113,47324,0.188762573,0.022525568
2019,3135,1315,125075,16038,141113,0.022216238,0.009318773
2020,4395,905,107740,15517,123257,0.035657204,0.007342382
