Area,Year,CDN.Catch,US.Catch,Total.Return
Nass,1982,,,
Nass,1983,,,
Nass,1984,,,
Nass,1985,211256,181631,841303
Nass,1986,118928,280652,658879
Nass,1987,161745,150304,562868
Nass,1988,69173,141944,401139
Nass,1989,203963,223800,586683
Nass,1990,80842,173463,459623
Nass,1991,345045,232363,958996
Nass,1992,840776,387768,1960084
Nass,1993,1011908,564980,2150585
Nass,1994,245388,247381,837138
Nass,1995,550824,314164,1168731
Nass,1996,441838,360429,1054396
Nass,1997,286683,420834,994763
Nass,1998,141399,265491,711783
Nass,1999,389324,197458,842806
Nass,2000,239022,86492,625982
Nass,2001,131879,201752,580611
Nass,2002,725478,125400,1403975
Nass,2003,619322,150129,1177472
Nass,2004,322472,299903,986095
Nass,2005,174339,144521,666877
Nass,2006,291650,138339,775112
Nass,2007,130920,251355,602210
Nass,2008,59975,47197,380397
Nass,2009,102572,150246,575336
Nass,2010,85862,47105,438941
Nass,2011,107768,98703,556711
Nass,2012,132978,57755,476821
Nass,2013,139955,67105,501424
Nass,2014,126566,65811,549684
Nass,2015,187389,116896,868749
Nass,2016,24287,80360,442420
Nass,2017,43615,28106,368660
Nass,2018,14705,21893,315975
Nass,2019,22913,51390,377745
Nass,2020,2264,30571,295194
Nass,2021,0,93901,514000
Skeena,1982,2049733,267879,3764943
Skeena,1983,539932,312692,1967131
Skeena,1984,899211,216972,2427758
Skeena,1985,2368597,489937,5337569
Skeena,1986,601906,277149,1842764
Skeena,1987,724644,99737,2400442
Skeena,1988,1863255,502204,4002697
Skeena,1989,894378,376414,2632939
Skeena,1990,1046504,458585,2721973
Skeena,1991,1611620,616938,3759554
Skeena,1992,1908324,709784,4199469
Skeena,1993,2110657,543054,4753798
Skeena,1994,842181,543389,2719943
Skeena,1995,2779134,593982,5610015
Skeena,1996,4237419,597789,7486410
Skeena,1997,1728870,636313,3759456
Skeena,1998,109045,178138,1002872
Skeena,1999,24979,64662,928242
Skeena,2000,2058267,241259,4692245
Skeena,2001,1620187,463894,4384675
Skeena,2002,527354,45573,1372529
Skeena,2003,478577,143714,2129054
Skeena,2004,302150,187586,1634899
Skeena,2005,19059,179643,1103595
Skeena,2006,884312,185911,2875414
Skeena,2007,463413,388064,2149866
Skeena,2008,703417,41079,2151305
Skeena,2009,17901,69751,1027623
Skeena,2010,46260,41347,956674
Skeena,2011,362504,140371,1931273
Skeena,2012,479875,60385,2260352
Skeena,2013,2897,16943,480045
Skeena,2014,505476,442715,3274851
Skeena,2015,26644,326286,2146293
Skeena,2016,132250,332501,1697839
Skeena,2017,296,64301,1054160
Skeena,2018,98800,84259,1770491
Skeena,2019,884,160731,822410
Skeena,2020,23656,174697,1646488
Skeena,2021,0,469965,1732294
