Year,ER.CDN,ER.US,ER.Total,p.CDN,p.US,Usratio
1992,0.155,0.475,0.63,0.246031746,0.753968254,3.06451613
1993,0.186,0.537,0.723,0.257261411,0.742738589,2.887096771
1994,0.129,0.548,0.677,0.190546529,0.809453471,4.24806201
1995,0.214,0.392,0.606,0.353135314,0.646864686,1.831775697
1996,0.088,0.454,0.542,0.162361624,0.837638376,5.159090895
1997,,0.46,0.46,0,1,
1998,0.012,0.483,0.495,0.024242424,0.975757576,40.25000041
1999,0.111,0.409,0.52,0.213461538,0.786538462,3.684684695
2000,0.078,0.42,0.498,0.156626506,0.843373494,5.384615386
2001,0.033,0.166,0.199,0.165829146,0.834170854,5.03030302
2002,0.061,0.34,0.401,0.152119701,0.847880299,5.573770481
2003,0.051,0.41,0.461,0.110629067,0.889370933,8.039215706
2004,,,,,,
2010,0.113,0.389,0.502,0.225099602,0.774900398,3.442477868
2011,0.114,0.37,0.484,0.23553719,0.76446281,3.245614037
2012,0.122,0.498,0.62,0.196774194,0.803225806,4.081967201
2013,0.058,0.339,0.397,0.146095718,0.853904282,5.844827581
2014,0.242,0.61,0.852,0.284037559,0.715962441,2.520661153
2015,0.131,0.558,0.689,0.190130624,0.809869376,4.259541987
2016,0.18,0.365,0.545,0.330275229,0.669724771,2.027777781
2017,0.074,0.394,0.468,0.158119658,0.841880342,5.324324329
2018,0.216,0.315,0.531,0.406779661,0.593220339,1.458333333
